,day_begin,day_id,rep_id,SES_Q,case_obs_f,hosp_obs_f,case_obs_ra_f,hosp_obs_ra_f
1,2020-01-01,1,1,Q1,NA,NA,NA,NA
2,2020-01-01,1,2,Q2,NA,NA,NA,NA
3,2020-01-01,1,3,Q3,NA,NA,NA,NA
4,2020-01-01,1,4,Q4,NA,NA,NA,NA
5,2020-01-01,1,5,Q5,NA,NA,NA,NA
6,2020-01-02,2,1,Q1,NA,NA,NA,NA
7,2020-01-02,2,2,Q2,NA,NA,NA,NA
8,2020-01-02,2,3,Q3,NA,NA,NA,NA
9,2020-01-02,2,4,Q4,NA,NA,NA,NA
10,2020-01-02,2,5,Q5,NA,NA,NA,NA
11,2020-01-03,3,1,Q1,NA,NA,NA,NA
12,2020-01-03,3,2,Q2,NA,NA,NA,NA
13,2020-01-03,3,3,Q3,NA,NA,NA,NA
14,2020-01-03,3,4,Q4,NA,NA,NA,NA
15,2020-01-03,3,5,Q5,NA,NA,NA,NA
16,2020-01-04,4,1,Q1,NA,NA,NA,NA
17,2020-01-04,4,2,Q2,NA,NA,NA,NA
18,2020-01-04,4,3,Q3,NA,NA,NA,NA
19,2020-01-04,4,4,Q4,NA,NA,NA,NA
20,2020-01-04,4,5,Q5,NA,NA,NA,NA
21,2020-01-05,5,1,Q1,NA,NA,NA,NA
22,2020-01-05,5,2,Q2,NA,NA,NA,NA
23,2020-01-05,5,3,Q3,NA,NA,NA,NA
24,2020-01-05,5,4,Q4,NA,NA,NA,NA
25,2020-01-05,5,5,Q5,NA,NA,NA,NA
26,2020-01-06,6,1,Q1,NA,NA,NA,NA
27,2020-01-06,6,2,Q2,NA,NA,NA,NA
28,2020-01-06,6,3,Q3,NA,NA,NA,NA
29,2020-01-06,6,4,Q4,NA,NA,NA,NA
30,2020-01-06,6,5,Q5,NA,NA,NA,NA
31,2020-01-07,7,1,Q1,NA,NA,NA,NA
32,2020-01-07,7,2,Q2,NA,NA,NA,NA
33,2020-01-07,7,3,Q3,NA,NA,NA,NA
34,2020-01-07,7,4,Q4,NA,NA,NA,NA
35,2020-01-07,7,5,Q5,NA,NA,NA,NA
36,2020-01-08,8,1,Q1,NA,NA,NA,NA
37,2020-01-08,8,2,Q2,NA,NA,NA,NA
38,2020-01-08,8,3,Q3,NA,NA,NA,NA
39,2020-01-08,8,4,Q4,NA,NA,NA,NA
40,2020-01-08,8,5,Q5,NA,NA,NA,NA
41,2020-01-09,9,1,Q1,NA,NA,NA,NA
42,2020-01-09,9,2,Q2,NA,NA,NA,NA
43,2020-01-09,9,3,Q3,NA,NA,NA,NA
44,2020-01-09,9,4,Q4,NA,NA,NA,NA
45,2020-01-09,9,5,Q5,NA,NA,NA,NA
46,2020-01-10,10,1,Q1,NA,NA,NA,NA
47,2020-01-10,10,2,Q2,NA,NA,NA,NA
48,2020-01-10,10,3,Q3,NA,NA,NA,NA
49,2020-01-10,10,4,Q4,NA,NA,NA,NA
50,2020-01-10,10,5,Q5,NA,NA,NA,NA
51,2020-01-11,11,1,Q1,NA,NA,NA,NA
52,2020-01-11,11,2,Q2,NA,NA,NA,NA
53,2020-01-11,11,3,Q3,NA,NA,NA,NA
54,2020-01-11,11,4,Q4,NA,NA,NA,NA
55,2020-01-11,11,5,Q5,NA,NA,NA,NA
56,2020-01-12,12,1,Q1,NA,NA,NA,NA
57,2020-01-12,12,2,Q2,NA,NA,NA,NA
58,2020-01-12,12,3,Q3,NA,NA,NA,NA
59,2020-01-12,12,4,Q4,NA,NA,NA,NA
60,2020-01-12,12,5,Q5,NA,NA,NA,NA
61,2020-01-13,13,1,Q1,NA,NA,NA,NA
62,2020-01-13,13,2,Q2,NA,NA,NA,NA
63,2020-01-13,13,3,Q3,NA,NA,NA,NA
64,2020-01-13,13,4,Q4,NA,NA,NA,NA
65,2020-01-13,13,5,Q5,NA,NA,NA,NA
66,2020-01-14,14,1,Q1,NA,NA,NA,NA
67,2020-01-14,14,2,Q2,NA,NA,NA,NA
68,2020-01-14,14,3,Q3,NA,NA,NA,NA
69,2020-01-14,14,4,Q4,NA,NA,NA,NA
70,2020-01-14,14,5,Q5,NA,NA,NA,NA
71,2020-01-15,15,1,Q1,NA,NA,NA,NA
72,2020-01-15,15,2,Q2,NA,NA,NA,NA
73,2020-01-15,15,3,Q3,NA,NA,NA,NA
74,2020-01-15,15,4,Q4,NA,NA,NA,NA
75,2020-01-15,15,5,Q5,NA,NA,NA,NA
76,2020-01-16,16,1,Q1,NA,NA,NA,NA
77,2020-01-16,16,2,Q2,NA,NA,NA,NA
78,2020-01-16,16,3,Q3,NA,NA,NA,NA
79,2020-01-16,16,4,Q4,NA,NA,NA,NA
80,2020-01-16,16,5,Q5,NA,NA,NA,NA
81,2020-01-17,17,1,Q1,NA,NA,NA,NA
82,2020-01-17,17,2,Q2,NA,NA,NA,NA
83,2020-01-17,17,3,Q3,NA,NA,NA,NA
84,2020-01-17,17,4,Q4,NA,NA,NA,NA
85,2020-01-17,17,5,Q5,NA,NA,NA,NA
86,2020-01-18,18,1,Q1,NA,NA,NA,NA
87,2020-01-18,18,2,Q2,NA,NA,NA,NA
88,2020-01-18,18,3,Q3,NA,NA,NA,NA
89,2020-01-18,18,4,Q4,NA,NA,NA,NA
90,2020-01-18,18,5,Q5,NA,NA,NA,NA
91,2020-01-19,19,1,Q1,NA,NA,NA,NA
92,2020-01-19,19,2,Q2,NA,NA,NA,NA
93,2020-01-19,19,3,Q3,NA,NA,NA,NA
94,2020-01-19,19,4,Q4,NA,NA,NA,NA
95,2020-01-19,19,5,Q5,NA,NA,NA,NA
96,2020-01-20,20,1,Q1,NA,NA,NA,NA
97,2020-01-20,20,2,Q2,NA,NA,NA,NA
98,2020-01-20,20,3,Q3,NA,NA,NA,NA
99,2020-01-20,20,4,Q4,NA,NA,NA,NA
100,2020-01-20,20,5,Q5,NA,NA,NA,NA
101,2020-01-21,21,1,Q1,NA,NA,NA,NA
102,2020-01-21,21,2,Q2,NA,NA,NA,NA
103,2020-01-21,21,3,Q3,NA,NA,NA,NA
104,2020-01-21,21,4,Q4,NA,NA,NA,NA
105,2020-01-21,21,5,Q5,NA,NA,NA,NA
106,2020-01-22,22,1,Q1,NA,NA,NA,NA
107,2020-01-22,22,2,Q2,NA,NA,NA,NA
108,2020-01-22,22,3,Q3,NA,NA,NA,NA
109,2020-01-22,22,4,Q4,NA,NA,NA,NA
110,2020-01-22,22,5,Q5,NA,NA,NA,NA
111,2020-01-23,23,1,Q1,NA,NA,NA,NA
112,2020-01-23,23,2,Q2,NA,NA,NA,NA
113,2020-01-23,23,3,Q3,NA,NA,NA,NA
114,2020-01-23,23,4,Q4,NA,NA,NA,NA
115,2020-01-23,23,5,Q5,NA,NA,NA,NA
116,2020-01-24,24,1,Q1,NA,NA,NA,NA
117,2020-01-24,24,2,Q2,NA,NA,NA,NA
118,2020-01-24,24,3,Q3,NA,NA,NA,NA
119,2020-01-24,24,4,Q4,NA,NA,NA,NA
120,2020-01-24,24,5,Q5,NA,NA,NA,NA
121,2020-01-25,25,1,Q1,NA,NA,NA,NA
122,2020-01-25,25,2,Q2,NA,NA,NA,NA
123,2020-01-25,25,3,Q3,NA,NA,NA,NA
124,2020-01-25,25,4,Q4,NA,NA,NA,NA
125,2020-01-25,25,5,Q5,NA,NA,NA,NA
126,2020-01-26,26,1,Q1,NA,NA,NA,NA
127,2020-01-26,26,2,Q2,NA,NA,NA,NA
128,2020-01-26,26,3,Q3,NA,NA,NA,NA
129,2020-01-26,26,4,Q4,NA,NA,NA,NA
130,2020-01-26,26,5,Q5,NA,NA,NA,NA
131,2020-01-27,27,1,Q1,NA,NA,NA,NA
132,2020-01-27,27,2,Q2,NA,NA,NA,NA
133,2020-01-27,27,3,Q3,NA,NA,NA,NA
134,2020-01-27,27,4,Q4,NA,NA,NA,NA
135,2020-01-27,27,5,Q5,NA,NA,NA,NA
136,2020-01-28,28,1,Q1,NA,NA,NA,NA
137,2020-01-28,28,2,Q2,NA,NA,NA,NA
138,2020-01-28,28,3,Q3,NA,NA,NA,NA
139,2020-01-28,28,4,Q4,NA,NA,NA,NA
140,2020-01-28,28,5,Q5,NA,NA,NA,NA
141,2020-01-29,29,1,Q1,NA,NA,NA,NA
142,2020-01-29,29,2,Q2,NA,NA,NA,NA
143,2020-01-29,29,3,Q3,NA,NA,NA,NA
144,2020-01-29,29,4,Q4,NA,NA,NA,NA
145,2020-01-29,29,5,Q5,NA,NA,NA,NA
146,2020-01-30,30,1,Q1,NA,NA,NA,NA
147,2020-01-30,30,2,Q2,NA,NA,NA,NA
148,2020-01-30,30,3,Q3,NA,NA,NA,NA
149,2020-01-30,30,4,Q4,NA,NA,NA,NA
150,2020-01-30,30,5,Q5,NA,NA,NA,NA
151,2020-01-31,31,1,Q1,NA,NA,NA,NA
152,2020-01-31,31,2,Q2,NA,NA,NA,NA
153,2020-01-31,31,3,Q3,NA,NA,NA,NA
154,2020-01-31,31,4,Q4,NA,NA,NA,NA
155,2020-01-31,31,5,Q5,NA,NA,NA,NA
156,2020-02-01,32,1,Q1,NA,NA,NA,NA
157,2020-02-01,32,2,Q2,NA,NA,NA,NA
158,2020-02-01,32,3,Q3,NA,NA,NA,NA
159,2020-02-01,32,4,Q4,NA,NA,NA,NA
160,2020-02-01,32,5,Q5,NA,NA,NA,NA
161,2020-02-02,33,1,Q1,NA,NA,NA,NA
162,2020-02-02,33,2,Q2,NA,NA,NA,NA
163,2020-02-02,33,3,Q3,NA,NA,NA,NA
164,2020-02-02,33,4,Q4,NA,NA,NA,NA
165,2020-02-02,33,5,Q5,NA,NA,NA,NA
166,2020-02-03,34,1,Q1,NA,NA,NA,NA
167,2020-02-03,34,2,Q2,NA,NA,NA,NA
168,2020-02-03,34,3,Q3,NA,NA,NA,NA
169,2020-02-03,34,4,Q4,NA,NA,NA,NA
170,2020-02-03,34,5,Q5,NA,NA,NA,NA
171,2020-02-04,35,1,Q1,NA,NA,NA,NA
172,2020-02-04,35,2,Q2,NA,NA,NA,NA
173,2020-02-04,35,3,Q3,NA,NA,NA,NA
174,2020-02-04,35,4,Q4,NA,NA,NA,NA
175,2020-02-04,35,5,Q5,NA,NA,NA,NA
176,2020-02-05,36,1,Q1,NA,NA,NA,NA
177,2020-02-05,36,2,Q2,NA,NA,NA,NA
178,2020-02-05,36,3,Q3,NA,NA,NA,NA
179,2020-02-05,36,4,Q4,NA,NA,NA,NA
180,2020-02-05,36,5,Q5,NA,NA,NA,NA
181,2020-02-06,37,1,Q1,NA,NA,NA,NA
182,2020-02-06,37,2,Q2,NA,NA,NA,NA
183,2020-02-06,37,3,Q3,NA,NA,NA,NA
184,2020-02-06,37,4,Q4,NA,NA,NA,NA
185,2020-02-06,37,5,Q5,NA,NA,NA,NA
186,2020-02-07,38,1,Q1,NA,NA,NA,NA
187,2020-02-07,38,2,Q2,NA,NA,NA,NA
188,2020-02-07,38,3,Q3,NA,NA,NA,NA
189,2020-02-07,38,4,Q4,NA,NA,NA,NA
190,2020-02-07,38,5,Q5,NA,NA,NA,NA
191,2020-02-08,39,1,Q1,NA,NA,NA,NA
192,2020-02-08,39,2,Q2,NA,NA,NA,NA
193,2020-02-08,39,3,Q3,NA,NA,NA,NA
194,2020-02-08,39,4,Q4,NA,NA,NA,NA
195,2020-02-08,39,5,Q5,NA,NA,NA,NA
196,2020-02-09,40,1,Q1,NA,NA,NA,NA
197,2020-02-09,40,2,Q2,NA,NA,NA,NA
198,2020-02-09,40,3,Q3,NA,NA,NA,NA
