"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"1",1,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-06
"2",1,1,3,0.991825507406628,0.792187203838546,1.20267189329635,"1.3","Type 2: Low % - High %",2020-01-06
"3",1,3,1,0.974892048752867,0.749571521662329,1.21477629575002,"3.1","Type 3: High % - Low %",2020-01-06
"4",1,3,3,0.933666666827029,0.685070051261203,1.23622747581332,"3.3","Type 1: High % - High %",2020-01-06
"5",2,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-13
"6",2,1,3,0.982437155483793,0.780763938263009,1.18789949875561,"1.3","Type 2: Low % - High %",2020-01-13
"7",2,3,1,0.976686338932521,0.769606409822488,1.2185197586673,"3.1","Type 3: High % - Low %",2020-01-13
"8",2,3,3,0.934668072067016,0.694834921319188,1.25255328337722,"3.3","Type 1: High % - High %",2020-01-13
"9",3,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-20
"10",3,1,3,0.993070121201424,0.798480018117391,1.17888529416112,"1.3","Type 2: Low % - High %",2020-01-20
"11",3,3,1,0.971895779854172,0.79792093320036,1.19422204054187,"3.1","Type 3: High % - Low %",2020-01-20
"12",3,3,3,0.942328513051512,0.722399131261449,1.25126225328758,"3.3","Type 1: High % - High %",2020-01-20
"13",4,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-27
"14",4,1,3,0.97285384002753,0.809264951757965,1.1832712182456,"1.3","Type 2: Low % - High %",2020-01-27
"15",4,3,1,0.963999118583741,0.78077953374674,1.15650952258692,"3.1","Type 3: High % - Low %",2020-01-27
"16",4,3,3,0.940425984011177,0.72262562169595,1.22370461605487,"3.3","Type 1: High % - High %",2020-01-27
"17",5,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-02-03
"18",5,1,3,0.96047483348662,0.801902601252309,1.18335614955599,"1.3","Type 2: Low % - High %",2020-02-03
