"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"1",1,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-01
"2",1,1,3,1.16331334029343,1.09112678954508,1.24786393567963,"1.3","Type 2: Low % - High %",2020-06-01
"3",1,3,1,1.0317264317603,0.954670988938643,1.12354653546147,"3.1","Type 3: High % - Low %",2020-06-01
"4",1,3,3,1.20588086816277,1.12957832458359,1.26245135092735,"3.3","Type 1: High % - High %",2020-06-01
"5",2,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-08
"6",2,1,3,1.23049288414682,1.17271541698589,1.30350234920155,"1.3","Type 2: Low % - High %",2020-06-08
"7",2,3,1,1.02421520040356,0.969891194158217,1.07931800954708,"3.1","Type 3: High % - Low %",2020-06-08
"8",2,3,3,1.25882723603275,1.21248671967166,1.32481310286936,"3.3","Type 1: High % - High %",2020-06-08
"9",3,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-15
"10",3,1,3,1.28742530008793,1.22876978052501,1.35469323350057,"1.3","Type 2: Low % - High %",2020-06-15
"11",3,3,1,0.993389127747582,0.941298558081549,1.04369891657661,"3.1","Type 3: High % - Low %",2020-06-15
"12",3,3,3,1.27791494354158,1.2144747835591,1.33487800734449,"3.3","Type 1: High % - High %",2020-06-15
"13",4,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-22
"14",4,1,3,1.30872963340788,1.24860468160774,1.38126372301524,"1.3","Type 2: Low % - High %",2020-06-22
"15",4,3,1,0.990834971690032,0.93227704091287,1.04682538343472,"3.1","Type 3: High % - Low %",2020-06-22
"16",4,3,3,1.29797877372977,1.2279067765046,1.36704026810435,"3.3","Type 1: High % - High %",2020-06-22
"17",5,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-06-29
"18",5,1,3,1.30593246344346,1.21706969731653,1.39208101427102,"1.3","Type 2: Low % - High %",2020-06-29
"19",5,3,1,0.976408855242305,0.921224529763393,1.03674015881401,"3.1","Type 3: High % - Low %",2020-06-29
"20",5,3,3,1.27029656613865,1.20782802051838,1.34304693377814,"3.3","Type 1: High % - High %",2020-06-29
"21",6,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-07-06
"22",6,1,3,1.40142508631105,1.32843028222532,1.47089133525707,"1.3","Type 2: Low % - High %",2020-07-06
"23",6,3,1,0.977534531731823,0.932292368917883,1.03817461972377,"3.1","Type 3: High % - Low %",2020-07-06
"24",6,3,3,1.37721180222896,1.30474369321947,1.43806652153342,"3.3","Type 1: High % - High %",2020-07-06
"25",7,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-07-13
"26",7,1,3,1.40267144029569,1.3428555965438,1.46517063214533,"1.3","Type 2: Low % - High %",2020-07-13
"27",7,3,1,0.948172257410012,0.893516840596891,0.991498325328126,"3.1","Type 3: High % - Low %",2020-07-13
"28",7,3,3,1.3309968691002,1.26165028670509,1.38977098202616,"3.3","Type 1: High % - High %",2020-07-13
"29",8,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-07-20
"30",8,1,3,1.4435661484032,1.38636666689268,1.49685725381024,"1.3","Type 2: Low % - High %",2020-07-20
"31",8,3,1,0.968059931179607,0.918712063534266,1.02520295046368,"3.1","Type 3: High % - Low %",2020-07-20
"32",8,3,3,1.40072813760357,1.34225075730733,1.46039431641879,"3.3","Type 1: High % - High %",2020-07-20
"33",9,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-07-27
"34",9,1,3,1.53677436840605,1.48911233185742,1.58907652675968,"1.3","Type 2: Low % - High %",2020-07-27
"35",9,3,1,0.97868076312227,0.932266297291214,1.0062007417511,"3.1","Type 3: High % - Low %",2020-07-27
"36",9,3,3,1.50054247956413,1.45019450566339,1.53900087367078,"3.3","Type 1: High % - High %",2020-07-27
"37",10,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-08-03
"38",10,1,3,1.53618046084295,1.49504127711703,1.57241810915245,"1.3","Type 2: Low % - High %",2020-08-03
"39",10,3,1,0.946837940178875,0.914385409345769,0.984958800474531,"3.1","Type 3: High % - Low %",2020-08-03
"40",10,3,3,1.4558095931258,1.41386428709764,1.4972011474676,"3.3","Type 1: High % - High %",2020-08-03
"41",11,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-08-10
