"","week_id","group","q2","q1","q3","level.r","date"
"1",1,"High - High",-2.72907968264825e-07,-4.31387948005915e-07,-1.66726189812174e-07,"Type 1: High % - High %",2020-01-06
"2",1,"High - Low",-3.33142642970266e-07,-4.65884110908885e-07,-2.41141501443799e-07,"Type 3: High % - Low %",2020-01-06
"3",1,"Low - High",-2.7791796471819e-07,-4.3760795170955e-07,-1.5972527821421e-07,"Type 2: Low % - High %",2020-01-06
"4",1,"Low - Low",-3.46893231808266e-07,-4.61817687641933e-07,-2.65704541972939e-07,"Type 4: Low % - Low %",2020-01-06
"5",2,"High - High",-3.29440322258283e-07,-5.14285729743672e-07,-2.13023654910719e-07,"Type 1: High % - High %",2020-01-13
"6",2,"High - Low",-3.95322632560215e-07,-5.58114736741824e-07,-2.90489603967267e-07,"Type 3: High % - Low %",2020-01-13
"7",2,"Low - High",-3.41570919449486e-07,-4.91612264170618e-07,-2.04730072188941e-07,"Type 2: Low % - High %",2020-01-13
"8",2,"Low - Low",-4.14380190404384e-07,-5.44615757870018e-07,-3.16410291787871e-07,"Type 4: Low % - Low %",2020-01-13
"9",3,"High - High",-3.69564600587468e-07,-5.8222780007486e-07,-2.45375291932381e-07,"Type 1: High % - High %",2020-01-20
"10",3,"High - Low",-4.48504216777782e-07,-6.11781576479689e-07,-3.31713898715879e-07,"Type 3: High % - Low %",2020-01-20
"11",3,"Low - High",-3.81273105418927e-07,-5.70035288296649e-07,-2.42982196990095e-07,"Type 2: Low % - High %",2020-01-20
"12",3,"Low - Low",-4.65730022865349e-07,-6.01159026132806e-07,-3.60129969482776e-07,"Type 4: Low % - Low %",2020-01-20
"13",4,"High - High",-5.79889382640335e-07,-8.81824555587364e-07,-3.92472275729202e-07,"Type 1: High % - High %",2020-01-27
"14",4,"High - Low",-7.16079951977612e-07,-9.24872048383549e-07,-5.13024995014525e-07,"Type 3: High % - Low %",2020-01-27
"15",4,"Low - High",-5.92100100303388e-07,-9.2152365067726e-07,-3.69064448241067e-07,"Type 2: Low % - High %",2020-01-27
"16",4,"Low - Low",-7.33203169413684e-07,-9.40516397411183e-07,-5.74148178636892e-07,"Type 4: Low % - Low %",2020-01-27
"17",5,"High - High",-1.00482800666883e-06,-1.44610393253658e-06,-7.12946971471136e-07,"Type 1: High % - High %",2020-02-03
"18",5,"High - Low",-1.28786511418722e-06,-1.61223890107413e-06,-9.27605331179496e-07,"Type 3: High % - Low %",2020-02-03
"19",5,"Low - High",-1.02752739743658e-06,-1.58361115203042e-06,-6.79147122640382e-07,"Type 2: Low % - High %",2020-02-03
"20",5,"Low - Low",-1.32141283187732e-06,-1.63690156047575e-06,-1.06054908508353e-06,"Type 4: Low % - Low %",2020-02-03
"21",6,"High - High",-1.9360928168895e-06,-2.70751484603109e-06,-1.38427972382456e-06,"Type 1: High % - High %",2020-02-10
"22",6,"High - Low",-2.51761017526983e-06,-3.05815062465949e-06,-1.94386635956642e-06,"Type 3: High % - Low %",2020-02-10
"23",6,"Low - High",-1.97021101012557e-06,-2.92536904655277e-06,-1.40062167726174e-06,"Type 2: Low % - High %",2020-02-10
"24",6,"Low - Low",-2.62135478384063e-06,-3.18136928292458e-06,-2.15346798128338e-06,"Type 4: Low % - Low %",2020-02-10
"25",7,"High - High",-5.21741012463207e-06,-7.1617454589624e-06,-3.94501927209189e-06,"Type 1: High % - High %",2020-02-17
"26",7,"High - Low",-7.27784999628842e-06,-8.77380401043748e-06,-5.69347860422036e-06,"Type 3: High % - Low %",2020-02-17
"27",7,"Low - High",-5.32005219552722e-06,-7.96503646467673e-06,-4.05545516365093e-06,"Type 2: Low % - High %",2020-02-17
"28",7,"Low - Low",-7.61183084178305e-06,-9.08853365156481e-06,-6.44100704848517e-06,"Type 4: Low % - Low %",2020-02-17
"29",8,"High - High",-2.09274550568279e-05,-2.59984430770139e-05,-1.66305016081013e-05,"Type 1: High % - High %",2020-02-24
"30",8,"High - Low",-2.93681682682308e-05,-3.52223469441793e-05,-2.37225970018712e-05,"Type 3: High % - Low %",2020-02-24
"31",8,"Low - High",-2.14733999782531e-05,-2.86373658524777e-05,-1.68455116612554e-05,"Type 2: Low % - High %",2020-02-24
"32",8,"Low - Low",-3.08332401486407e-05,-3.53825103702406e-05,-2.70448618807258e-05,"Type 4: Low % - Low %",2020-02-24
"33",9,"High - High",-0.000133632272295431,-0.00015796780185065,-0.000111507929596652,"Type 1: High % - High %",2020-03-02
"34",9,"High - Low",-0.000194433724240592,-0.000231309559059001,-0.000163399347810003,"Type 3: High % - Low %",2020-03-02
"35",9,"Low - High",-0.000140870637083083,-0.000176351527157278,-0.000109993831134896,"Type 2: Low % - High %",2020-03-02
"36",9,"Low - Low",-0.000205804878036871,-0.000227041662603844,-0.00018486418978069,"Type 4: Low % - Low %",2020-03-02
"37",10,"High - High",-0.00092298571941493,-0.00102645558634389,-0.000817089009533627,"Type 1: High % - High %",2020-03-09
"38",10,"High - Low",-0.00137042480906603,-0.00152136238351708,-0.00120602186252126,"Type 3: High % - Low %",2020-03-09
"39",10,"Low - High",-0.000975858832474005,-0.00116160253230335,-0.00083528337758534,"Type 2: Low % - High %",2020-03-09
"40",10,"Low - Low",-0.00148245400831807,-0.00157380771932723,-0.00139197652227028,"Type 4: Low % - Low %",2020-03-09
"41",11,"High - High",-0.0033456180797616,-0.00355903322008161,-0.0030987559663918,"Type 1: High % - High %",2020-03-16
"42",11,"High - Low",-0.00476497158763901,-0.00518511335499824,-0.00440681571032234,"Type 3: High % - Low %",2020-03-16
"43",11,"Low - High",-0.00348684391651795,-0.00391659331715483,-0.00309046892880823,"Type 2: Low % - High %",2020-03-16
"44",11,"Low - Low",-0.00505020440407706,-0.00530754738196605,-0.00487590013301817,"Type 4: Low % - Low %",2020-03-16
"45",12,"High - High",-0.00184361056011582,-0.00196000528075121,-0.00173663116529576,"Type 1: High % - High %",2020-03-23
"46",12,"High - Low",-0.00211477715477229,-0.00227273845265414,-0.00197894266785064,"Type 3: High % - Low %",2020-03-23
"47",12,"Low - High",-0.00188488302174475,-0.00207040101404697,-0.00169799014541403,"Type 2: Low % - High %",2020-03-23
"48",12,"Low - Low",-0.00219054813858646,-0.00227327062909317,-0.00211628209987439,"Type 4: Low % - Low %",2020-03-23
"49",13,"High - High",0.00282125969724095,0.00267401386763634,0.00301271581103363,"Type 1: High % - High %",2020-03-30
"50",13,"High - Low",0.0026558184246075,0.00250560610359077,0.00283643049932626,"Type 3: High % - Low %",2020-03-30
"51",13,"Low - High",0.00271081370383567,0.00248976124261848,0.00296151725677278,"Type 2: Low % - High %",2020-03-30
"52",13,"Low - Low",0.00261998375784139,0.00252637642794966,0.0027067106693009,"Type 4: Low % - Low %",2020-03-30
"53",14,"High - High",0.00480265341567882,0.00450131465051248,0.00509736760898068,"Type 1: High % - High %",2020-04-06
"54",14,"High - Low",0.00398636007786283,0.00368627800371288,0.00433170133414957,"Type 3: High % - Low %",2020-04-06
"55",14,"Low - High",0.0040391731891586,0.00365679572789268,0.00447877872917392,"Type 2: Low % - High %",2020-04-06
"56",14,"Low - Low",0.00351928913946045,0.00337348012085216,0.00367263881395929,"Type 4: Low % - Low %",2020-04-06
"57",15,"High - High",0.00370094984228854,0.00344673987804695,0.00400962272610108,"Type 1: High % - High %",2020-04-13
"58",15,"High - Low",0.0028069076592735,0.00256605826423614,0.00304313027298402,"Type 3: High % - Low %",2020-04-13
"59",15,"Low - High",0.00302844828317212,0.00275110102905372,0.00344627552526546,"Type 2: Low % - High %",2020-04-13
"60",15,"Low - Low",0.00243151085251645,0.00230892054626769,0.00254634143812205,"Type 4: Low % - Low %",2020-04-13
"61",16,"High - High",0.00302706360934409,0.00277949333028618,0.0033374248705025,"Type 1: High % - High %",2020-04-20
"62",16,"High - Low",0.00208120476939816,0.00189507734550603,0.0023143004375347,"Type 3: High % - Low %",2020-04-20
"63",16,"Low - High",0.00244823833296973,0.00217604768989321,0.00278046049967665,"Type 2: Low % - High %",2020-04-20
