"","week_id","group","q2","q1","q3","level.r","date"
"1",1,"High - High",-2.6274259261668e-07,-4.22086530731547e-07,-1.60154711865392e-07,"Type 1: High % - High %",2020-01-06
"2",1,"High - Low",-3.27554011651261e-07,-4.77097582767825e-07,-2.55650938665499e-07,"Type 3: High % - Low %",2020-01-06
"3",1,"Low - High",-2.74956480470657e-07,-4.41701579769472e-07,-1.66218664163124e-07,"Type 2: Low % - High %",2020-01-06
"4",1,"Low - Low",-3.45386875853259e-07,-4.79119069195435e-07,-2.65684365807524e-07,"Type 4: Low % - Low %",2020-01-06
"5",2,"High - High",-3.05023892196805e-07,-4.69552733460362e-07,-2.05298181937928e-07,"Type 1: High % - High %",2020-01-13
"6",2,"High - Low",-3.9164754636717e-07,-5.48752274239317e-07,-3.03004539286085e-07,"Type 3: High % - Low %",2020-01-13
"7",2,"Low - High",-3.20129091406864e-07,-4.80753278840373e-07,-1.83191784467877e-07,"Type 2: Low % - High %",2020-01-13
"8",2,"Low - Low",-4.17393298586418e-07,-5.31207222921031e-07,-3.32731391804751e-07,"Type 4: Low % - Low %",2020-01-13
"9",3,"High - High",-3.53208542627099e-07,-5.51989798020771e-07,-2.24839033149993e-07,"Type 1: High % - High %",2020-01-20
"10",3,"High - Low",-4.52585427739645e-07,-5.82022013753883e-07,-3.50141934793817e-07,"Type 3: High % - Low %",2020-01-20
"11",3,"Low - High",-3.58735546991836e-07,-4.89805738388572e-07,-2.19718450539417e-07,"Type 2: Low % - High %",2020-01-20
"12",3,"Low - Low",-4.76508931607622e-07,-6.18353941416912e-07,-3.65999910391786e-07,"Type 4: Low % - Low %",2020-01-20
"13",4,"High - High",-5.38593370691091e-07,-8.07617764897282e-07,-3.73847172640612e-07,"Type 1: High % - High %",2020-01-27
"14",4,"High - Low",-7.26245443544164e-07,-9.4280563156075e-07,-5.72670923751276e-07,"Type 3: High % - Low %",2020-01-27
"15",4,"Low - High",-5.52361262530343e-07,-7.89456097131582e-07,-3.5373410838826e-07,"Type 2: Low % - High %",2020-01-27
"16",4,"Low - Low",-7.62105683667993e-07,-9.52919915246597e-07,-6.12637097055069e-07,"Type 4: Low % - Low %",2020-01-27
"17",5,"High - High",-9.44614025237541e-07,-1.36170002373112e-06,-6.73892379595709e-07,"Type 1: High % - High %",2020-02-03
"18",5,"High - Low",-1.27843921610122e-06,-1.67084344561927e-06,-1.03765772248173e-06,"Type 3: High % - Low %",2020-02-03
"19",5,"Low - High",-9.93884638343425e-07,-1.35624289271772e-06,-6.42850862540881e-07,"Type 2: Low % - High %",2020-02-03
"20",5,"Low - Low",-1.35967417376636e-06,-1.67537518856643e-06,-1.10602556543606e-06,"Type 4: Low % - Low %",2020-02-03
"21",6,"High - High",-1.86517962358545e-06,-2.63193356523058e-06,-1.36446931176977e-06,"Type 1: High % - High %",2020-02-10
"22",6,"High - Low",-2.48844770259201e-06,-3.22370859834919e-06,-2.07609573832692e-06,"Type 3: High % - Low %",2020-02-10
"23",6,"Low - High",-1.99313510315329e-06,-2.52920030983804e-06,-1.34398292030681e-06,"Type 2: Low % - High %",2020-02-10
"24",6,"Low - Low",-2.69089222794293e-06,-3.24016046971911e-06,-2.20327970765612e-06,"Type 4: Low % - Low %",2020-02-10
"25",7,"High - High",-5.25402956626438e-06,-6.69363667619018e-06,-4.06995333167383e-06,"Type 1: High % - High %",2020-02-17
"26",7,"High - Low",-7.08634790109209e-06,-8.80180717383576e-06,-6.12879996884902e-06,"Type 3: High % - Low %",2020-02-17
"27",7,"Low - High",-5.58860790507427e-06,-6.90466194763766e-06,-3.86382757625852e-06,"Type 2: Low % - High %",2020-02-17
"28",7,"Low - Low",-7.6918246363602e-06,-9.08504277118521e-06,-6.71016050903716e-06,"Type 4: Low % - Low %",2020-02-17
"29",8,"High - High",-2.05017576720758e-05,-2.57543160307524e-05,-1.65403681729886e-05,"Type 1: High % - High %",2020-02-24
"30",8,"High - Low",-2.90876036379737e-05,-3.48067501510283e-05,-2.48777767063277e-05,"Type 3: High % - Low %",2020-02-24
"31",8,"Low - High",-2.20059715109076e-05,-2.72363245909474e-05,-1.66426808487323e-05,"Type 2: Low % - High %",2020-02-24
"32",8,"Low - Low",-3.16161411920517e-05,-3.52984127912399e-05,-2.74817854954366e-05,"Type 4: Low % - Low %",2020-02-24
"33",9,"High - High",-0.000131814139233575,-0.000152693348506612,-0.000110365730800273,"Type 1: High % - High %",2020-03-02
"34",9,"High - Low",-0.000192581905040556,-0.000222372252954343,-0.000168352847740717,"Type 3: High % - Low %",2020-03-02
"35",9,"Low - High",-0.000142613550628596,-0.000169310843743145,-0.000113159122308563,"Type 2: Low % - High %",2020-03-02
"36",9,"Low - Low",-0.000210214399015205,-0.000236368235559322,-0.000190952246469221,"Type 4: Low % - Low %",2020-03-02
