"","re.mean","week_id","fi_re.mean","OR.mean","covariate"
"SES_HH_Q1_prop_stand.1",-0.0978523278387999,1,-0.0118347838351086,0.988234971767101,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.2",-0.098016821767347,2,-0.0119992777636556,0.98807242648349,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.3",-0.0978298990555177,3,-0.0118123550518263,0.988257136923683,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.4",-0.101461615559191,4,-0.0154440715555,0.984674576529139,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.5",-0.104888810439451,5,-0.0188712664357592,0.98130568108983,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.6",-0.107941475867469,6,-0.0219239318637773,0.978314650792966,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.7",-0.110511963961184,7,-0.024494419957493,0.975803133926181,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.8",-0.111047322316358,8,-0.0250297783126669,0.975280869377248,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.9",-0.11886957846608,9,-0.0328520344623892,0.967681732544231,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.10",-0.125184952132982,10,-0.0391674081292911,0.961589717735316,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.11",-0.119526364289203,11,-0.0335088202855113,0.967046381568598,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.12",-0.115241136955748,12,-0.0292235929520563,0.971199286872233,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.13",-0.0946885102485644,13,-0.00867096624487308,0.991366518162685,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.14",-0.0579294256565878,14,0.0280881183471036,1.02848630894209,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.15",-0.057259185220615,15,0.0287583587830764,1.02917587311527,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.16",-0.0537662441004734,16,0.0322512999032179,1.03277700945959,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.17",-0.0506381357123484,17,0.0353794082913429,1.03601270605231,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.18",-0.0388032420169433,18,0.0472143019867481,1.04834664777796,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.19",-0.0356126504377166,19,0.0504048935659747,1.05169683546273,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.20",-0.0447108067288392,20,0.0413067372748521,1.04217172943891,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.21",-0.0636054060384958,21,0.0224121379651955,1.02266517677362,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.22",-0.0714826852617373,22,0.014534858741954,1.01464100344386,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.23",-0.0730895659500573,23,0.012927978053634,1.01301190564328,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.24",-0.0720019386302002,24,0.0140156053734912,1.01411428444718,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.25",-0.0727992827484743,25,0.013218261255217,1.01330600866701,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.26",-0.0781147807109344,26,0.00790276329275692,1.00793407254879,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.27",-0.0754089152529726,27,0.0106086287507187,1.0106650997694,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.28",-0.0702319307160804,28,0.015785613287611,1.01591086426768,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.29",-0.0698074277090563,29,0.016210116294635,1.01634221303238,"SES_HH_Q1_prop_stand"
