"","week_id","group","q2","q1","q3","level.r","date"
"1",1,"High - High",-2.79143376069813e-07,-5.0321779346798e-07,-1.95480314544482e-07,"Type 1: High % - High %",2020-01-06
"2",1,"High - Low",-3.34570429351667e-07,-4.30399104792716e-07,-2.27113694353594e-07,"Type 3: High % - Low %",2020-01-06
"3",1,"Low - High",-2.8181777142351e-07,-5.14063804195173e-07,-1.97297070439477e-07,"Type 2: Low % - High %",2020-01-06
"4",1,"Low - Low",-3.46407577428838e-07,-4.30452936286639e-07,-2.51011905243965e-07,"Type 4: Low % - Low %",2020-01-06
"5",2,"High - High",-3.34962235636645e-07,-5.9165902434114e-07,-2.36015542543576e-07,"Type 1: High % - High %",2020-01-13
"6",2,"High - Low",-4.03922484547089e-07,-5.05207256765948e-07,-2.92464540726147e-07,"Type 3: High % - Low %",2020-01-13
"7",2,"Low - High",-3.36789986901828e-07,-5.60961292448663e-07,-2.3544996773176e-07,"Type 2: Low % - High %",2020-01-13
"8",2,"Low - Low",-4.20245056546377e-07,-5.0596053939867e-07,-2.99741788526424e-07,"Type 4: Low % - Low %",2020-01-13
"9",3,"High - High",-3.73100107215587e-07,-6.43393638718356e-07,-2.74769450423175e-07,"Type 1: High % - High %",2020-01-20
"10",3,"High - Low",-4.46604513039921e-07,-5.60242853093895e-07,-3.31560193637406e-07,"Type 3: High % - Low %",2020-01-20
"11",3,"Low - High",-3.85226459245298e-07,-6.31743424748227e-07,-2.78932177917131e-07,"Type 2: Low % - High %",2020-01-20
"12",3,"Low - Low",-4.68964198710425e-07,-5.80184253228082e-07,-3.55999740094552e-07,"Type 4: Low % - Low %",2020-01-20
"13",4,"High - High",-5.8309818045458e-07,-8.62708698759023e-07,-4.13610490395716e-07,"Type 1: High % - High %",2020-01-27
"14",4,"High - Low",-7.16434251330234e-07,-8.66365628181533e-07,-5.68322003680778e-07,"Type 3: High % - Low %",2020-01-27
"15",4,"Low - High",-5.87240941442471e-07,-8.54825206340746e-07,-4.48713235774544e-07,"Type 2: Low % - High %",2020-01-27
"16",4,"Low - Low",-7.35452780333365e-07,-9.30888078673039e-07,-5.916495022042e-07,"Type 4: Low % - Low %",2020-01-27
"17",5,"High - High",-9.88515791111966e-07,-1.3754031711167e-06,-7.31518789938279e-07,"Type 1: High % - High %",2020-02-03
"18",5,"High - Low",-1.26676581947488e-06,-1.53910811825635e-06,-1.0561534644497e-06,"Type 3: High % - Low %",2020-02-03
"19",5,"Low - High",-1.02638973959313e-06,-1.3889636397805e-06,-7.72586541654973e-07,"Type 2: Low % - High %",2020-02-03
"20",5,"Low - Low",-1.32779776136466e-06,-1.64201455653137e-06,-1.11940677548148e-06,"Type 4: Low % - Low %",2020-02-03
"21",6,"High - High",-1.87991158589801e-06,-2.4960200675171e-06,-1.39590686684355e-06,"Type 1: High % - High %",2020-02-10
