"","week_id","lvl_SES","lvl_MBG","q2","q1","q3","level","level.r","date"
"1",1,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-06
"2",1,1,3,0.962156796565516,0.755108784725126,1.17630602829472,"1.3","Type 2: Low % - High %",2020-01-06
"3",1,3,1,0.937728659005448,0.780690052463604,1.26262025439098,"3.1","Type 3: High % - Low %",2020-01-06
"4",1,3,3,0.930143175010662,0.654616384285265,1.23374911850405,"3.3","Type 1: High % - High %",2020-01-06
"5",2,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-13
"6",2,1,3,0.957170477676545,0.733052238985004,1.17344149757646,"1.3","Type 2: Low % - High %",2020-01-13
"7",2,3,1,0.942497756992342,0.790526485274223,1.22028645021493,"3.1","Type 3: High % - Low %",2020-01-13
"8",2,3,3,0.913632861797253,0.709126542253419,1.16814653920364,"3.3","Type 1: High % - High %",2020-01-13
"9",3,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-20
"10",3,1,3,0.950256702966069,0.76280065345275,1.1477873076595,"1.3","Type 2: Low % - High %",2020-01-20
"11",3,3,1,0.947139275162873,0.79190282258667,1.17956898704486,"3.1","Type 3: High % - Low %",2020-01-20
"12",3,3,3,0.910067782072124,0.689484440624426,1.21126370120639,"3.3","Type 1: High % - High %",2020-01-20
"13",4,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-01-27
"14",4,1,3,0.946259695232033,0.78697839734432,1.14421984968989,"1.3","Type 2: Low % - High %",2020-01-27
"15",4,3,1,0.962496035324836,0.791925521724893,1.16367635280082,"3.1","Type 3: High % - Low %",2020-01-27
"16",4,3,3,0.899143686806299,0.706870602698734,1.1371606033936,"3.3","Type 1: High % - High %",2020-01-27
"17",5,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-02-03
"18",5,1,3,0.934134785177193,0.77463202231985,1.10835034605908,"1.3","Type 2: Low % - High %",2020-02-03
"19",5,3,1,0.945984290893175,0.807940842716016,1.14335834310893,"3.1","Type 3: High % - Low %",2020-02-03
"20",5,3,3,0.896371631451488,0.719229521501026,1.12047485306579,"3.3","Type 1: High % - High %",2020-02-03
"21",6,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-02-10
"22",6,1,3,0.933296198501244,0.762148840927927,1.081207072988,"1.3","Type 2: Low % - High %",2020-02-10
"23",6,3,1,0.942089338273616,0.826274654053092,1.11619847964071,"3.1","Type 3: High % - Low %",2020-02-10
"24",6,3,3,0.89740528703197,0.736486126979667,1.11086125152043,"3.3","Type 1: High % - High %",2020-02-10
"25",7,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-02-17
"26",7,1,3,0.928795975561137,0.808154061636848,1.05551854157896,"1.3","Type 2: Low % - High %",2020-02-17
"27",7,3,1,0.937050938256029,0.827569290129806,1.08298115111339,"3.1","Type 3: High % - Low %",2020-02-17
"28",7,3,3,0.890989962694199,0.747298607384532,1.03021442525466,"3.3","Type 1: High % - High %",2020-02-17
"29",8,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-02-24
"30",8,1,3,0.92847727538194,0.832172087276823,1.0353898430686,"1.3","Type 2: Low % - High %",2020-02-24
"31",8,3,1,0.945375574239041,0.849567753279263,1.06359033509423,"3.1","Type 3: High % - Low %",2020-02-24
"32",8,3,3,0.871142815158411,0.76970951922587,1.00972522470879,"3.3","Type 1: High % - High %",2020-02-24
"33",9,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-03-02
"34",9,1,3,0.91513807718811,0.845091749960107,1.0021005461153,"1.3","Type 2: Low % - High %",2020-03-02
"35",9,3,1,0.934444259829488,0.849559832260135,1.03841518141072,"3.1","Type 3: High % - Low %",2020-03-02
"36",9,3,3,0.858285071134422,0.760231234233601,0.950726031393676,"3.3","Type 1: High % - High %",2020-03-02
"37",10,1,1,1,1,1,"1.1","Type 4: Low % - Low %",2020-03-09
"38",10,1,3,0.904243523769909,0.85029496193576,0.961801469879368,"1.3","Type 2: Low % - High %",2020-03-09
