,day_begin,day_id,rep_id,MBG_C,case_obs_f,hosp_obs_f,case_rate_f,hosp_rate_f,case_rate_ra_f,hosp_rate_ra_f
1,2020-01-01,1,1,Migrant,NA,NA,NA,NA,NA,NA
2,2020-01-01,1,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
3,2020-01-01,1,3,Not a Migrant,NA,NA,NA,NA,NA,NA
4,2020-01-02,2,1,Migrant,NA,NA,NA,NA,NA,NA
5,2020-01-02,2,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
6,2020-01-02,2,3,Not a Migrant,NA,NA,NA,NA,NA,NA
7,2020-01-03,3,1,Migrant,NA,NA,NA,NA,NA,NA
8,2020-01-03,3,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
9,2020-01-03,3,3,Not a Migrant,NA,NA,NA,NA,NA,NA
10,2020-01-04,4,1,Migrant,NA,NA,NA,NA,NA,NA
11,2020-01-04,4,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
12,2020-01-04,4,3,Not a Migrant,NA,NA,NA,NA,NA,NA
13,2020-01-05,5,1,Migrant,NA,NA,NA,NA,NA,NA
14,2020-01-05,5,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
15,2020-01-05,5,3,Not a Migrant,NA,NA,NA,NA,NA,NA
16,2020-01-06,6,1,Migrant,NA,NA,NA,NA,NA,NA
17,2020-01-06,6,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
18,2020-01-06,6,3,Not a Migrant,NA,NA,NA,NA,NA,NA
19,2020-01-07,7,1,Migrant,NA,NA,NA,NA,NA,NA
20,2020-01-07,7,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
21,2020-01-07,7,3,Not a Migrant,NA,NA,NA,NA,NA,NA
22,2020-01-08,8,1,Migrant,NA,NA,NA,NA,NA,NA
23,2020-01-08,8,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
24,2020-01-08,8,3,Not a Migrant,NA,NA,NA,NA,NA,NA
25,2020-01-09,9,1,Migrant,NA,NA,NA,NA,NA,NA
26,2020-01-09,9,2,Child of migrant(s),NA,NA,NA,NA,NA,NA
27,2020-01-09,9,3,Not a Migrant,NA,NA,NA,NA,NA,NA
