"","re.mean","week_id","fi_re.mean","OR.mean","covariate"
"SES_HH_Q1_prop_stand.1",-0.116312730568964,1,-0.1168450175713,0.889723073921454,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.2",-0.127682311004971,2,-0.128214598007308,0.879664584620945,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.3",-0.151293274248485,3,-0.151825561250822,0.859138134652159,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.4",-0.152955344783377,4,-0.153487631785713,0.857711372491276,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.5",-0.163619212191962,5,-0.164151499194299,0.848613447887399,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.6",-0.150713006619183,6,-0.151245293621519,0.859636809369203,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.7",-0.171921937208752,7,-0.172454224211088,0.841596812688083,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.8",-0.135326809933485,8,-0.135859096935822,0.872965627355155,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.9",-0.11071027805229,9,-0.111242565054626,0.894721694388497,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.10",-0.117881182440492,10,-0.118413469442829,0.888328679906827,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.11",-0.102990893828091,11,-0.103523180830428,0.901655121385128,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.12",-0.0653199278642862,12,-0.0658522148666231,0.936269220739518,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.13",-0.052894923795762,13,-0.0534272107980989,0.947974940831917,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.14",-0.0316148605036072,14,-0.032147147505944,0.96836407923588,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.15",-0.00262144867857086,15,-0.00315373568090768,0.996851232119716,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.16",0.022507678800134,16,0.0219753917977972,1.0222186291982,"SES_HH_Q1_prop_stand"
"SES_HH_Q1_prop_stand.17",0.0464627402918896,17,0.0459304532895527,1.04700159290822,"SES_HH_Q1_prop_stand"
