Group;mean;sd;0.025quant;0.5quant;0.975quant;mode;kld;covariate;model;lcl;ucl
SES_HH_Q1_prop_stand;0.999467855;0.004979752;-0.010297225;-0.000532255;0.009232472;-0.000532255;5.15E-11;Low-SES;Infection model;0.98975561;1.009275222
MBG_group_Antilles_prop_stand;1.021362129;0.004056939;0.013181747;0.021137188;0.029092387;0.021137188;4.91E-11;MB: Antilles;Infection model;1.013269009;1.029519704
MBG_group_Marocco_prop_stand;1.037324596;0.003796274;0.029200626;0.036644922;0.044089008;0.036644922;4.78E-11;MB: Morocco;Infection model;1.029631145;1.045075371
MBG_group_Surinam_prop_stand;1.012710007;0.004108739;0.004572327;0.012630137;0.020686213;0.012630134;4.54E-11;MB: Surinam;Infection model;1.004582796;1.020901655
MBG_group_Turkiye_prop_stand;1.027613622;0.003830406;0.019728302;0.027239182;0.034750532;0.027239182;4.85E-11;MB: Turkey;Infection model;1.019924191;1.035361387
MBG_group_Other_W_prop_stand;0.954711889;0.005639039;-0.057403975;-0.046345444;-0.035288663;-0.046345444;5.16E-11;MB: Other (Western);Infection model;0.944212554;0.965326722
MBG_group_Other_nW_prop_stand;0.981361195;0.004629885;-0.027893686;-0.0188146244581749;-0.009736122;-0.018814625;5.21E-11;MB: Other (non-Western);Infection model;0.972491751;0.99031112
SES_HH_Q1_prop_stand1;1.089825448;0.014379681;0.057843283;0.086008163;0.114245359;0.086008207;1.13E-10;Low-SES;Hospitalisation model;1.059548933;1.121027145
MBG_group_Antilles_prop_stand1;1.013416394;0.010051495;-0.006388553;0.013328804;0.033033697;0.013328795;2.47E-11;MB: Antilles;Hospitalisation model;0.99363181;1.033585367
MBG_group_Marocco_prop_stand1;1.086959641;0.008688343;0.06635345;0.083382013;0.100429737;0.083382065;3.52E-11;MB: Morocco;Hospitalisation model;1.068604349;1.105645953
MBG_group_Surinam_prop_stand1;1.072093407;0.008515578;0.052922724;0.069609909;0.086322605;0.069609973;4.31E-11;MB: Surinam;Hospitalisation model;1.054348166;1.090157962
MBG_group_Turkiye_prop_stand1;1.040116;0.00836019;0.022939098;0.039331749;0.055728203;0.039331745;1.61E-11;MB: Turkey;Hospitalisation model;1.023204223;1.057310271
MBG_group_Other_W_prop_stand1;0.922598012;0.015216822;-0.110371259;-0.080572242;-0.050690925;-0.080572011;1.52E-10;MB: Other (Western);Hospitalisation model;0.89550161;0.950572423
MBG_group_Other_nW_prop_stand1;0.994192744;0.015680013;-0.036614544;-0.005809941;0.024883877;-0.005810271;2.36E-10;MB: Other (non-Western);Hospitalisation model;0.964047662;1.025196064
